name,address1,address2,address3,borough_code,borough_name,os_addressbase_uprn,ward_2018_code,ward_2018_name,website,longitude,latitude,easting,northing,runtime
Northumberland Arms,119 Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13730716699921683,51.5233795274434,529321.9649616274,182139.92344366916,01/19/2020
Grafton Arms,72 Grafton Way,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13873740699823386,51.523303308598415,529222.964988271,182128.92344641342,01/19/2020
Prince of Wales Feathers,8 Warren Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13825157902733073,51.52425781908679,529253.9649802395,182235.92341755866,01/19/2020
Smugglers Tavern,28 Warren Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.14101479886186682,51.523663156880524,529063.9650311933,182164.9234362734,01/19/2020
Lore of the Land,4 Conway Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13960875862772926,51.5220851295593,529165.9650032779,181991.923483392,01/19/2020
Simmons,28 Maple Street,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13889627947451033,51.52223569701875,529214.9649900937,182009.92347859545,01/19/2020
Fitzrovia Belle,174 Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13566837307461077,51.522562136060714,529437.9649300339,182051.92346763308,01/19/2020
TCR Lounge Bar,183 Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13540192438070398,51.52202733106523,529457.9649244044,181992.9234835485,01/19/2020
Jack Horner,235-236 Tottenham Court Road,London,Fitzrovia,E09000007,Camden,,E05000129,Bloomsbury,,-0.13217637254549935,51.51877461127643,529690.9648600168,181636.9235790157,01/19/2020
Harry Gordon's Bar & Kitchen,40 Duke Street,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.15167698909154392,51.514542186154074,528349.9652241748,181131.92371809547,01/19/2020
All Bar One,5a Picton Place,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.15148142134910336,51.51545635874335,528360.9652212114,181233.92369035986,01/19/2020
Lamb & Flag,24 James Street,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.15042263018951638,51.51490909975218,528435.9652008067,181174.92370630184,01/19/2020
Henry Holland,39 Duke Street,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.15143852518017678,51.51473626754037,528365.9652198192,181153.92371212126,01/19/2020
Golden Eagle,59 Marylebone Lane,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.1508304564016265,51.51764930729499,528399.9652106054,181478.92362345487,01/19/2020
Coach Makers Arms,88 Marylebone Lane,London,Marylebone,E09000033,City of Westminster,,E05000641,Marylebone High Street,,-0.1506333290901407,51.5171785796948,528414.9652065728,181426.923637758,01/19/2020
